name,category,priority,website_url,contact_url,context,asset_to_pitch,notes,sender,source_url
Physical Intelligence,Robotics foundation model,HIGH,https://www.pi.website/,https://www.pi.website/,Generalist robot policies need diverse human task video beyond robot-only trajectories.,First-person household and industrial manipulation clips. Task-matched sample reel.,VLA model lab. Lead with messy real-world task coverage.,viresh,https://www.pi.website/
Skild AI,Robotics foundation model,HIGH,https://www.skild.ai/,https://www.skild.ai/,Omni-bodied robot intelligence maps well to broad human task capture.,"First-person task video across tool use, packing, repair, and household work.",High-fit model-layer buyer. Ask for a task-matched sample review.,viresh,https://www.skild.ai/
Figure AI,Humanoid robotics,HIGH,https://www.figure.ai/,https://www.figure.ai/,Humanoid deployment needs real worksite manipulation coverage.,"Industrial task video, tool handling, warehouse actions, hand-object sequences.",Factory humanoid buyer. Keep email short and asset-led.,viresh,https://www.figure.ai/
Apptronik,Humanoid robotics,HIGH,https://apptronik.com/,https://apptronik.com/,Apollo is aimed at warehouse and manufacturing tasks.,"Warehouse, manufacturing, garment line, metal work, and residential task footage.",Very strong fit due real-world training focus.,tarun,https://apptronik.com/
Agility Robotics,Humanoid robotics,HIGH,https://www.agilityrobotics.com/,https://www.agilityrobotics.com/,Digit operates in logistics settings where human task video can support workflow understanding.,"Warehouse handling, tote movement, sorting, floor-level worksite capture.",Logistics humanoid buyer. Pitch warehouse task families.,tarun,https://www.agilityrobotics.com/
1X Technologies,Home humanoid robotics,HIGH,https://www.1x.tech/,https://www.1x.tech/,Home robot training maps to household first-person task footage.,"Residential manipulation, cleaning, laundry, kitchen, appliance and tidying clips.",Home tasks are the strongest hook.,viresh,https://www.1x.tech/
Sanctuary AI,Humanoid robotics,HIGH,https://sanctuary.ai/,https://sanctuary.ai/,Phoenix focuses on general-purpose industrial and dexterous tasks.,"Dexterous hand-object video, tools, repair, industrial manipulation.",Pitch hand-heavy task samples.,tarun,https://sanctuary.ai/
Boston Dynamics,Humanoid robotics,HIGH,https://bostondynamics.com/products/atlas/,https://bostondynamics.com/products/atlas/,Atlas is positioned for real industrial work and material handling.,"Industrial worksite capture, material handling, tools, cluttered task scenes.",Enterprise target. Use sample-first CTA.,viresh,https://bostondynamics.com/products/atlas/
Unitree Robotics,Humanoid robotics,HIGH,https://www.unitree.com/g1,https://www.unitree.com/g1,G1 and H-series humanoids are active platforms for learning and manipulation.,"Human task video for dexterous hands, tool use, household and light industrial work.",Strong platform buyer. Use concise technical angle.,tarun,https://www.unitree.com/g1
UBTECH Robotics,Humanoid robotics,HIGH,https://www.ubtrobot.com/en,https://www.ubtrobot.com/en,Walker series targets industrial and service robotics.,"Industrial manipulation, logistics workflows, service task video.",China-facing buyer. Verify best contact route before send.,tarun,https://www.ubtrobot.com/en
AGIBOT,Embodied AI robotics,HIGH,https://www.agibot.com/,https://www.agibot.com/,Embodied AI and large-scale robot data platform make a direct fit.,Rights-cleared human task video that can complement robot trajectory data.,High-fit buyer and possible partner.,viresh,https://www.agibot.com/
Galbot,Embodied AI robotics,HIGH,https://www.galbot.com/,https://www.galbot.com/,Mobile dual-arm manipulation maps to first-person human task video.,Hand-object and household manipulation samples.,Pitch long-horizon household and service tasks.,tarun,https://www.galbot.com/
Mentee Robotics,Humanoid robotics,HIGH,https://menteebot.com/,https://menteebot.com/,Human-scale robot for domestic and industrial tasks.,"Household and light industrial task video, natural-language task families.",Verify current owner and outreach path before send.,viresh,https://menteebot.com/
ENGINEAI,Humanoid robotics,HIGH,https://en.engineai.com.cn/,https://en.engineai.com.cn/,General-purpose humanoid platform with mobility and manipulation focus.,"Industrial and household manipulation clips, tool use, cluttered scenes.",Strong platform buyer. Verify English contact path.,tarun,https://en.engineai.com.cn/
NEURA Robotics,Humanoid robotics,HIGH,https://neura-robotics.com/products/4ne1/,https://neura-robotics.com/products/4ne1/,4NE1 is built for industrial workflows and everyday assistance.,"Industrial workflow video, human-object interaction, task variation samples.",Good Europe target. Lead with worksite breadth.,viresh,https://neura-robotics.com/products/4ne1/
Fourier Robotics,Humanoid robotics,HIGH,https://www.fftai.com/products-gr1,https://www.fftai.com/products-gr1,GR humanoid series supports interaction and task automation.,"Task video around household assistance, rehab-adjacent handling, light industrial work.","Good fit, but qualify buyer owner first.",tarun,https://www.fftai.com/products-gr1
Tesla Optimus,Humanoid robotics,MEDIUM,https://www.tesla.com/AI,https://www.tesla.com/AI,Large humanoid effort with internal data advantage but possible niche external sample interest.,"Industrial and residential task clips, edge-case worksite mess.",Hard to reach. Use only if warm path exists.,viresh,https://www.tesla.com/AI
Google DeepMind Robotics,Robotics foundation model,HIGH,https://deepmind.google/discover/blog/gemini-robotics/,https://deepmind.google/discover/blog/gemini-robotics/,Robotics models benefit from varied real-world manipulation examples.,"First-person task video, household manipulation, industrial actions, annotation layers.",Research-heavy buyer. Use design partner angle.,viresh,https://deepmind.google/discover/blog/gemini-robotics/
NVIDIA Robotics,Robotics platform,HIGH,https://developer.nvidia.com/isaac/gr00t,https://developer.nvidia.com/isaac/gr00t,Humanoid foundation model ecosystem can use real-world task data partners.,Rights-cleared first-person video plus annotation packages.,Partner angle rather than simple buyer angle.,tarun,https://developer.nvidia.com/isaac/gr00t
Toyota Research Institute,Robotics research,HIGH,https://www.tri.global/,https://www.tri.global/,Long-horizon home and assistance robotics maps to household task footage.,"Residential manipulation, cleaning, cooking prep, laundry, cluttered environments.",Good fit for household sample reel.,viresh,https://www.tri.global/
